name,window_size,hidden_size,num_layers,dropout,bidirectional,lr,batch_size,best_val_rankic,best_epoch,total_epochs,train_time_s
phase1_T20_H64,20,64,2,0.3,False,0.001,2048,0.093733,15,25,308.4
phase1_T20_H128,20,128,2,0.3,False,0.001,2048,0.097173,13,23,536.7
phase1_T20_H256,20,256,2,0.3,False,0.001,2048,0.097582,15,25,815.5
phase1_T40_H64,40,64,2,0.3,False,0.001,2048,0.095708,32,42,746.2
phase1_T40_H128,40,128,2,0.3,False,0.001,2048,0.098512,10,20,696.6
phase1_T40_H256,40,256,2,0.3,False,0.001,2048,0.096776,17,27,1627.8
phase1_T60_H64,60,64,2,0.3,False,0.001,2048,0.099752,28,38,899.4
phase1_T60_H128,60,128,2,0.3,False,0.001,2048,0.100467,17,27,1260.9
phase1_T60_H256,60,256,2,0.3,False,0.001,2048,0.099801,9,19,1665.6
phase2_D0.1_LR0.0005,60,128,2,0.1,False,0.0005,2048,0.104222,17,27,1259.4
phase2_D0.1_LR0.001,60,128,2,0.1,False,0.001,2048,0.100727,14,24,1118.6
phase2_D0.1_LR0.003,60,128,2,0.1,False,0.003,2048,0.094979,19,29,1352.1
phase2_D0.3_LR0.0005,60,128,2,0.3,False,0.0005,2048,0.102696,23,33,1539.9
phase2_D0.3_LR0.001,60,128,2,0.3,False,0.001,2048,0.100038,7,17,792.5
phase2_D0.3_LR0.003,60,128,2,0.3,False,0.003,2048,0.097381,7,17,792.4
phase2_D0.5_LR0.0005,60,128,2,0.5,False,0.0005,2048,0.100981,28,38,1771.0
phase2_D0.5_LR0.001,60,128,2,0.5,False,0.001,2048,0.100226,19,29,1352.7
phase2_D0.5_LR0.003,60,128,2,0.5,False,0.003,2048,0.095459,7,17,792.5
phase3_L1,60,128,1,0.1,False,0.0005,2048,0.103245,24,34,876.8
phase3_L2,60,128,2,0.1,False,0.0005,2048,0.101337,13,23,1073.2
phase3_L3,60,128,3,0.1,False,0.0005,2048,0.102349,24,34,2376.1
best,60,128,2,0.1,False,0.0005,2048,0.102759,14,29,1351.5
