name,best_val_rankic,best_epoch,total_epochs,time_s
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.1_lr=0.0005,0.079919,12,22,340.0
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.1_lr=0.001,0.079234,13,23,280.7
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.3_lr=0.0005,0.082211,23,33,415.1
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.3_lr=0.001,0.083393,45,50,713.0
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.1_lr=0.0005,0.078967,17,27,411.7
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.1_lr=0.001,0.079365,14,24,375.6
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.3_lr=0.0005,0.083538,43,50,957.1
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.1_lr=0.0005,0.081365,13,23,419.6
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.1_lr=0.001,0.079382,16,26,470.9
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.3_lr=0.0005,0.082609,35,45,813.0
mlp_mlp_hidden_dim=256_n_layers=2_dropout=0.3_lr=0.001,0.082696,41,50,966.4
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.1_lr=0.0005,0.078469,14,24,537.2
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.1_lr=0.001,0.080632,21,31,694.6
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.3_lr=0.0005,0.083444,25,35,785.6
mlp_mlp_hidden_dim=256_n_layers=3_dropout=0.3_lr=0.001,0.084299,32,42,937.8
mlp_mlp_hidden_dim=256_n_layers=4_dropout=0.1_lr=0.0005,0.079582,16,26,524.8
mlp_mlp_hidden_dim=256_n_layers=4_dropout=0.1_lr=0.001,0.080635,24,34,672.7
mlp_mlp_hidden_dim=256_n_layers=4_dropout=0.3_lr=0.0005,0.083433,39,49,965.8
mlp_mlp_hidden_dim=256_n_layers=4_dropout=0.3_lr=0.001,0.083889,31,41,811.3
mlp_mlp_hidden_dim=512_n_layers=2_dropout=0.1_lr=0.0005,0.077168,10,20,367.7
mlp_mlp_hidden_dim=512_n_layers=2_dropout=0.1_lr=0.001,0.080495,12,22,413.8
mlp_mlp_hidden_dim=512_n_layers=2_dropout=0.3_lr=0.0005,0.081992,38,48,923.2
mlp_mlp_hidden_dim=512_n_layers=2_dropout=0.3_lr=0.001,0.081371,18,28,537.4
mlp_mlp_hidden_dim=512_n_layers=3_dropout=0.1_lr=0.0005,0.076897,11,21,435.7
mlp_mlp_hidden_dim=512_n_layers=3_dropout=0.1_lr=0.001,0.078912,23,33,685.4
