N,K,cum,excess,days
5,3,15.4493,10.1959,73
5,2,10.8124,5.559,73
10,3,4.6875,-0.5659,73
10,5,4.4592,-0.7942,73
20,10,2.3442,-2.9092,73
15,10,1.7984,-3.455,73
15,8,1.0734,-4.18,73
15,3,0.455,-4.7984,73
20,8,0.3462,-4.9072,73
25,10,0.324,-4.9294,73
15,5,0.2949,-4.9585,73
20,3,-0.2816,-5.535,73
20,5,-0.7072,-5.9606,73
30,3,-0.8447,-6.0981,73
25,3,-1.3183,-6.5717,73
25,8,-1.4063,-6.6597,73
10,8,-1.4108,-6.6642,73
15,2,-1.5885,-6.8419,73
30,10,-1.7471,-7.0005,73
25,5,-1.8604,-7.1138,73
30,8,-2.137,-7.3904,73
10,2,-2.3421,-7.5955,73
30,2,-2.3512,-7.6046,73
30,5,-2.6346,-7.888,73
25,2,-3.982,-9.2354,73
20,2,-4.5778,-9.8312,73
