ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,vwap
000001.SZ,20260602,10.98,11.1,10.94,11.08,10.99,0.09,0.8189,885428.42,978159.33686,11.047299982306871
000002.SZ,20260602,3.47,3.51,3.35,3.39,3.47,-0.08,-2.3055,2567079.03,875666.03417,3.411137810470915
000006.SZ,20260602,8.95,9.35,8.76,8.85,8.88,-0.03,-0.3378,402704.1,363061.5338,9.015590697983955
000007.SZ,20260602,11.62,12.29,11.62,12.1,11.61,0.49,4.2205,125320.41,151219.63967,12.066640994072714
000008.SZ,20260602,2.61,2.61,2.57,2.58,2.61,-0.03,-1.1494,226741.0,58508.741,2.5804217587467644
000009.SZ,20260602,7.47,7.5,7.32,7.34,7.47,-0.13,-1.7403,159259.43,117419.7193,7.3728581911915665
000010.SZ,20260602,2.32,2.32,2.32,2.32,2.21,0.11,4.9774,25641.0,5948.712,2.3200000000000003
000011.SZ,20260602,7.57,7.62,7.41,7.44,7.57,-0.13,-1.7173,44558.0,33326.183,7.47928161048521
000012.SZ,20260602,4.19,4.2,4.08,4.1,4.16,-0.06,-1.4423,422884.86,174459.60085,4.125463390909762
000014.SZ,20260602,11.3,11.3,10.81,10.94,11.19,-0.25,-2.2341,77147.33,84374.91639,10.936855026609475
000016.SZ,20260602,3.4,3.49,3.35,3.37,3.37,0.0,0.0,287677.36,98446.13196,3.422102175854228
000017.SZ,20260602,5.57,5.57,5.37,5.47,5.57,-0.1,-1.7953,74306.18,40392.49574,5.435953744358814
000019.SZ,20260602,6.67,6.71,6.52,6.56,6.67,-0.11,-1.6492,88136.4,57827.0321,6.561083967577527
000020.SZ,20260602,12.82,12.87,12.42,12.59,12.75,-0.16,-1.2549,36643.0,46029.521,12.561613677919386
000021.SZ,20260602,36.55,37.84,35.17,37.18,36.43,0.75,2.0587,1568442.61,5743976.66765,36.6221666704783
000025.SZ,20260602,15.47,15.6,14.95,15.07,15.6,-0.53,-3.3974,79207.81,119607.0964,15.100417042208338
000026.SZ,20260602,22.81,23.08,22.1,22.39,22.8,-0.41,-1.7982,144357.1,323766.1717,22.428143243387403
000027.SZ,20260602,7.91,8.14,7.82,8.02,8.02,0.0,0.0,863970.4,691073.45964,7.998809445786569
000028.SZ,20260602,23.61,23.8,23.33,23.39,23.62,-0.23,-0.9738,33342.59,78476.70933,23.53647671941502
000029.SZ,20260602,23.93,24.15,23.3,23.5,23.93,-0.43,-1.7969,66580.47,157737.2382,23.691217289394324
000030.SZ,20260602,4.68,4.72,4.66,4.67,4.68,-0.01,-0.2137,84046.44,39370.42088,4.684365081971348
000031.SZ,20260602,2.95,2.95,2.72,2.76,2.87,-0.11,-3.8328,787697.01,220136.05668,2.7946793485987715
000032.SZ,20260602,16.49,16.6,15.77,16.04,16.49,-0.45,-2.7289,205421.9,329208.43348,16.025965755355198
000034.SZ,20260602,26.7,26.8,25.67,26.05,26.59,-0.54,-2.0308,414455.91,1080746.86593,26.076280729836864
000035.SZ,20260602,5.88,5.89,5.71,5.81,5.9,-0.09,-1.5254,327096.51,189301.87231,5.78734002114544
000036.SZ,20260602,5.22,5.28,5.0,5.11,5.19,-0.08,-1.5414,264538.46,135118.50874,5.10770754241179
000037.SZ,20260602,12.65,12.94,11.85,12.01,12.65,-0.64,-5.0593,935926.3,1146368.13409,12.248487237616894
000039.SZ,20260602,10.81,10.9,10.34,10.48,10.81,-0.33,-3.0527,403890.44,424802.12001,10.517756251175443
000042.SZ,20260602,9.95,9.96,9.7,9.77,9.94,-0.17,-1.7103,48332.44,47276.33856,9.781492215166459
001914.SZ,20260602,10.01,10.11,9.9,9.94,10.07,-0.13,-1.291,52756.37,52700.41688,9.989394054215632
000045.SZ,20260602,11.37,11.43,11.16,11.25,11.38,-0.13,-1.1424,55710.0,62871.026,11.285411236761803
000048.SZ,20260602,13.85,14.56,13.58,13.96,13.79,0.17,1.2328,287573.98,405983.75676,14.117541397869168
000049.SZ,20260602,25.4,25.7,24.91,25.37,25.52,-0.15,-0.5878,70432.34,178023.60843,25.275833293342234
000050.SZ,20260602,7.76,8.19,7.66,7.94,7.8,0.14,1.7949,430551.12,340971.03136,7.9194087652123635
000055.SZ,20260602,4.18,4.19,3.87,4.19,3.81,0.38,9.9738,476494.27,196290.29595,4.119468130225364
000056.SZ,20260602,1.56,1.64,1.53,1.64,1.56,0.08,5.1282,625133.46,101275.4833,1.6200617912853363
000058.SZ,20260602,7.32,7.37,7.13,7.13,7.32,-0.19,-2.5956,69592.71,50125.89826,7.202751302543039
000059.SZ,20260602,4.57,4.83,4.56,4.79,4.56,0.23,5.0439,487750.77,231736.26883,4.751120512428919
000060.SZ,20260602,7.74,7.93,7.54,7.84,7.68,0.16,2.0833,2294166.74,1783995.23879,7.776223095231517
000061.SZ,20260602,6.64,6.73,6.33,6.34,6.6,-0.26,-3.9394,231765.09,149501.45401,6.450559659783101
000062.SZ,20260602,30.39,33.52,29.23,33.52,30.47,3.05,10.0098,1009618.19,3260093.5503,32.29036067882256
000063.SZ,20260602,35.12,36.46,34.8,36.3,35.1,1.2,3.4188,1773783.83,6345225.60096,35.77225980778052
000065.SZ,20260602,12.06,12.15,11.82,11.85,12.2,-0.35,-2.8689,182267.25,217293.83849,11.921715968721752
000066.SZ,20260602,18.48,18.63,17.63,18.09,18.48,-0.39,-2.1104,1802483.83,3254425.45749,18.05522692256274
000068.SZ,20260602,3.17,3.31,3.13,3.25,3.16,0.09,2.8481,305881.08,98249.9932,3.2120323754578086
000069.SZ,20260602,2.01,2.03,1.97,2.0,2.02,-0.02,-0.9901,598410.52,119467.26496,1.9964098385168763
000070.SZ,20260602,16.94,17.96,16.73,17.74,17.01,0.73,4.2916,546745.21,955172.17986,17.47015177069407
000078.SZ,20260602,1.85,1.85,1.83,1.85,1.76,0.09,5.1136,264263.51,48864.64435,1.8490878422828791
000088.SZ,20260602,4.49,4.52,4.47,4.48,4.5,-0.02,-0.4444,207074.37,93049.90311,4.493549979652238
000089.SZ,20260602,6.83,6.91,6.81,6.82,6.86,-0.04,-0.5831,93727.0,64204.294,6.850138594001729
000090.SZ,20260602,3.79,3.83,3.66,3.7,3.87,-0.17,-4.3928,908014.64,338097.94084,3.7234855689110913
000096.SZ,20260602,8.52,8.52,8.29,8.35,8.5,-0.15,-1.7647,62931.0,52602.646,8.358781204811619
000099.SZ,20260602,15.67,15.78,15.58,15.67,15.68,-0.01,-0.0638,71609.92,112246.62903,15.674731801124759
000100.SZ,20260602,4.38,4.45,4.26,4.43,4.4,0.03,0.6818,7858499.5,3415470.87299,4.346212496405962
000151.SZ,20260602,13.64,13.85,13.1,13.57,13.74,-0.17,-1.2373,280894.82,376977.78697,13.420603020376095
000153.SZ,20260602,5.83,5.84,5.69,5.71,5.84,-0.13,-2.226,62261.62,35755.64386,5.742806541172555
000155.SZ,20260602,14.41,14.46,13.72,14.02,14.6,-0.58,-3.9726,456338.07,642486.84775,14.07918580516414
000156.SZ,20260602,7.12,7.16,6.95,6.96,7.11,-0.15,-2.1097,95836.0,67140.672,7.00578822154514
000157.SZ,20260602,7.2,7.21,7.05,7.12,7.22,-0.1,-1.385,587215.53,417342.0528,7.107135821152414
000158.SZ,20260602,15.77,15.81,15.28,15.42,15.9,-0.48,-3.0189,236352.36,365369.96335,15.458697486667788
000159.SZ,20260602,6.94,6.95,6.63,6.71,6.89,-0.18,-2.6125,208295.0,140182.383,6.729992702657289
000166.SZ,20260602,4.43,4.48,4.41,4.46,4.43,0.03,0.6772,910410.83,405088.49604,4.449513150453186
000301.SZ,20260602,12.35,12.35,11.96,12.16,12.2,-0.04,-0.3279,170168.0,206272.255,12.12168298387476
000333.SZ,20260602,81.26,82.79,81.22,82.6,81.7,0.9,1.1016,263177.46,2162929.06026,82.18519398507759
000338.SZ,20260602,33.03,33.33,30.33,32.22,33.7,-1.48,-4.3917,2130784.18,6707391.0635,31.47850977333612
000400.SZ,20260602,27.0,27.1,26.26,26.54,27.22,-0.68,-2.4982,261642.88,694722.23953,26.552308227535182
000401.SZ,20260602,4.07,4.11,4.03,4.06,4.1,-0.04,-0.9756,85503.17,34809.87802,4.0711798194148825
000402.SZ,20260602,3.11,3.13,3.03,3.05,3.13,-0.08,-2.5559,888663.88,272144.55862,3.062401485475026
